district,taluka,uc,scheme_name,type_of_scheme,scheme_category,population,status,lat,lon,contractor
Sanghar,Sanghar,,Chak No-3&4 ,Water Supply Scheme,,3180,,26.1374738141149,68.9581636439553,
Sanghar,Sanghar,,Chak No-5&8,Water Supply Scheme,,5170,,26.1181368004548,68.8840637993367,
Sanghar,Sanghar,,Sanghar Urban,Water Supply Scheme,,35170,,26.0395455124829,68.9558894721159,
Sanghar,Sanghar,,Kandairi Urban,Water Supply Scheme,,16780,,25.80081856101,69.0716538406956,
Sanghar,Sanghar,,Johi-I Urban,Water Supply Scheme,,9820,,25.9524582699506,68.8844862583244,
Sanghar,Sanghar,,Johi-II Urban,Water Supply Scheme,,10265,,25.9654491796403,68.9050415617203,
Sanghar,Sanghar,,Kandairi Urban,Drainage Scheme,,14603,,25.7965313066364,69.0673719392869,
Sanghar,Jam Nawaz Ali,,Birani Urban ,Water Supply Scheme,,11040,,25.7841406930139,68.7894574072597,
Sanghar,Jam Nawaz Ali,,Jam Nawaz Ali Urban-1,Water Supply Scheme,,5020,,25.7805577093927,68.8582028319542,
Sanghar,Jam Nawaz Ali,,Jam Nawaz Ali Urban-2,Water Supply Scheme,,2266,,25.7830493910041,68.8486148844286,
Sanghar,Jam Nawaz Ali,,Birani Urban ,Drainage Scheme,,11040,,25.7859314023031,68.804365662907,
Sanghar,Shahdad Pur,,Daim Khan Dhamrah ,Water Supply Scheme,,960,,26.1742217972133,68.5953771662754,
Sanghar,Shahdad Pur,,Amanullah Dahri ,Water Supply Scheme,,1380,,25.8518662666336,68.620621297888,
Sanghar,Shahdad Pur,,Shahdad Pur Urban,Drainage Scheme,,50738,,25.9246877179445,68.6154854806693,
Sanghar,Tando Adam,,Bagowadadani,Water Supply Scheme,,3950,,25.8803573624702,68.6897557383571,
Sanghar,Tando Adam,,Tando Adam Rasheed Colony Urban,Drainage Scheme,,11430,,25.7751130179724,68.6576369145311,
Sanghar,Tando Adam,,Soomar Khashkheli ,Drainage Scheme,,1605,,25.8911192436062,68.5395247184768,
Sanghar,Sinjhoro ,,Sinjhoro City,Water Supply Scheme,,14240,,26.0299767220912,68.8059116519731,
Sanghar,Sinjhoro ,,Khadro,Water Supply Scheme,,13230,,26.1443811244659,68.7173035411003,
Sanghar,Sinjhoro ,,Gul Muhammad Thahim,Water Supply Scheme,,2823,,26.0602024925465,68.754565759009,
Sanghar,Sinjhoro ,,Kurkuli,Water Supply Scheme,,4000,,25.9422903970274,68.8147246028309,
Sanghar,Khipro,,Khipro Urban,Water Supply Scheme,,25860,,25.8239411023323,69.3797540028968,
Sanghar,Khipro,,Dost Muhammad Hingoro,Water Supply Scheme,,3420,,25.8525951431988,69.3059100362559,
Sanghar,Khipro,,Haji Muhammad Laghari,Water Supply Scheme,,2500,,25.9164331342437,69.2265900432231,
Sanghar,Khipro,,Hathungo,Water Supply Scheme,,10700,,25.7905861428979,69.4479400090921,
Sanghar,Khipro,,Khahi,Water Supply Scheme,,3650,,25.6297011467517,69.4223389680513,
Sanghar,Khipro,,Haji Hussain Rajar/Khani Rajar,Water Supply Scheme,,3100,,25.7652291294081,69.3578159573459,
Sanghar,Khipro,,Khipro Urban,Drainage Scheme,,9370,,25.8302460921215,69.3800970017452,
Badin,Badin,,Badin Urban,Water Supply Scheme,,4660,,24.4861147711778,68.9844264073922,
Badin,Badin,,Kadhan,Water Supply Scheme,,3850,,24.6420409052993,69.040869520797,
Badin,Badin,,Nindo Shaher ,Water Supply Scheme,,1377,,24.5758804936743,68.9852054272192,
Badin,Badin,,Ali Murad Chandio,Water Supply Scheme,,2463,,24.5012775383172,68.7894749716269,
Badin,Badin,,Seerani,Water Supply Scheme,,2670,,24.501277895729,68.7894722073376,
Badin,Badin,,Tando Gamoon,Water Supply Scheme,,120,,24.5450671257431,68.7872979622963,
Badin,Badin,,Abdul Hameed Junejo,Water Supply Scheme,,6662,,24.5562931486965,68.9055899693386,
Badin,Badin,,Luari Sharif,Water Supply Scheme,,125,,24.5493458951081,68.8689404410971,
Badin,Badin,,Ashraf Abad,Water Supply Scheme,,1294,,24.5268461050296,68.8522237396928,
Badin,Badin,,Lal Bux Notkani,Water Supply Scheme,,2520,,24.6362660722382,68.8669910143617,
Badin,Badin,,Molvi Hussain Soomro,Water Supply Scheme,,919,,24.5223094015363,68.9344991345453,
Badin,Badin,,Allah Dino Jamali,Water Supply Scheme,,2885,,24.6551890680731,69.0278689954454,
Badin,Badin,,Yar Muhammad Bhurgri,Water Supply Scheme,,4660,,24.4861147711778,68.9844264073922,
Badin,Badin,,Nindo Shaher ,Drainage Scheme,,7880,,24.6358994003061,69.0411145458866,
Badin,Badin,,Luari Sharif,Drainage Scheme,,6090,,24.5586188705153,68.9048557111578,
Badin,Talhar,,Talhar Urban,Water Supply Scheme,,47953,,24.8871871885016,68.8218545908788,
Badin,Talhar,,Rajo Khanani ,Water Supply Scheme,,11078,,24.9831005782193,68.8487370423438,
Badin,Talhar,,Rip,Water Supply Scheme,,3320,,24.792314520999,68.8009078215883,
Badin,Talhar,,Talhar Urban,Drainage Scheme,,47953,,24.8879673293629,68.8100120470151,
Badin,Talhar,,Rajo Khanani ,Drainage Scheme,,11078,,24.9815867713492,68.852137458564,
Badin,Tando Bago,,Pangrio,Water Supply Scheme,,13523,,24.7635387750371,69.1936853801688,
Badin,Tando Bago,,Tando Bago Urban,Water Supply Scheme,,20821,,24.7874477147315,68.9617639523379,
Badin,Tando Bago,,Khoski,Water Supply Scheme,,30566,,24.6429039561714,69.104941285827,
Badin,Tando Bago,,Nabi Bux Rustamani,Water Supply Scheme,,2868,,24.8946629766009,68.9990098576022,
Badin,Tando Bago,,Hayat Khashkheli,Water Supply Scheme,,371,,24.9313718733983,69.2761525206502,
Badin,Tando Bago,,Sangi Pharo,Water Supply Scheme,,4519,,24.9397931332632,69.1358671824849,
Badin,Tando Bago,,Behra Memon,Water Supply Scheme,,2094,,24.7247386323279,68.9981212926279,
Badin,Tando Bago,,Wali Muhammad Malkani,Water Supply Scheme,,11758,,24.8747391378518,69.2552319684959,
Badin,Tando Bago,,Shadi Large,Water Supply Scheme,,4233,,24.6298741169983,69.1787471358505,
Badin,Tando Bago,,Pahar Mari,Water Supply Scheme,,3637,,24.7617699701749,68.9560153352503,
Badin,Tando Bago,,Pangrio,Drainage Scheme,,13523,,24.7604288975667,69.196064221253,
Badin,Tando Bago,,Tando Bago Urban,Drainage Scheme,,3722,,24.7903669011763,68.9709339873074,
Badin,Tando Bago,,New Abad Urban,Drainage Scheme,,7911,,24.7769169313152,68.9608966774593,
Badin,Tando Bago,,Khoski,Drainage Scheme,,30566,,24.6392529146915,69.1200959668939,
Badin,Shaheed Fazal Rahu,,Kario Gahanwar,Water Supply Scheme,,13038,,24.81004103837,68.6079545763151,
Badin,Shaheed Fazal Rahu,,Shaheed Fazal Rahu (Golarchi),Drainage Scheme,,16968,,24.6512532788208,68.5380825234229,
Badin,Shaheed Fazal Rahu,,Khorwah,Drainage Scheme,,7384,,24.7547093404407,68.4148665976759,
Badin,Matli,,Nabi Bux Muhajir,Water Supply Scheme,,3078,,25.1016817957384,68.7679086584967,
Badin,Matli,,Gulam Laghari,Water Supply Scheme,,5400,,25.2135252966394,68.7833816486197,
Badin,Matli,,Taj Muhammad Junejo,Water Supply Scheme,,560,,25.0713673699669,69.0468610477466,
Badin,Matli,,Haji Lakhano Mandrani,Water Supply Scheme,,1883,,25.0876032886791,68.9927606688031,
Badin,Matli,,Manik Laghari,Drainage Scheme,,4486,,25.225629376405,68.7454948112818,
Badin,Matli,,Haji Abdullah,Drainage Scheme,,3177,,25.2432394424805,68.9222521341775,
Badin,Matli,,Molvi Sultan Ahmed,Drainage Scheme,,3470,,25.1179279694358,68.907948570545,
Mirpur Khas,Mirpur Khas,,Mirpur Khas Urban,Water Supply Scheme,,32574,,25.5110084976341,69.0133746848743,
Mirpur Khas,Mirpur Khas,,Mir Sher Muhammad,Water Supply Scheme,,4668,,25.5125780778409,69.0261426736801,
Mirpur Khas,Shujabad,,Ghulam Muhammad Laghari,Water Supply Scheme,,1445,,25.3227300792185,69.0429910086015,
Mirpur Khas,Shujabad,,Khuda Bux Khatyan,Water Supply Scheme,,619,,25.423199092307,69.0670300358349,
Mirpur Khas,Shujabad,,Muhammad Ali Halepota,Water Supply Scheme,,2250,,25.4666151165728,69.0909289524398,
Mirpur Khas,Shujabad,,Muhammad Khan Lashari,Water Supply Scheme,,1400,,25.4231991208072,69.131144981075,
Mirpur Khas,Shujabad,,Umer Bughio,Water Supply Scheme,,2283,,25.4450841213431,68.9524519637994,
Mirpur Khas,Hussain Bux Mari,,Khan,Water Supply Scheme,,4700,,25.6169197730621,68.9550199311144,
Mirpur Khas,Hussain Bux Mari,,Patayoon,Water Supply Scheme,,3569,,25.7363532790247,68.9527218371078,
Mirpur Khas,Hussain Bux Mari,,Old Mirpur,Water Supply Scheme,,7605,,25.5737464749064,69.0664402672803,
Mirpur Khas,Hussain Bux Mari,,Vesro,Water Supply Scheme,,2726,,25.5400589704971,69.0908682072525,
Mirpur Khas,Hussain Bux Mari,,Aziz Brohi,Water Supply Scheme,,1800,,25.54549618228,68.8968541175762,
Mirpur Khas,Hussain Bux Mari,,Dr. Iqbal Narejo,Water Supply Scheme,,210,,25.6745032243531,69.0139808085958,
Mirpur Khas,Sindhri,,Hingorno,Water Supply Scheme,,4085,,25.7328515053337,69.1749697803998,
Mirpur Khas,Sindhri,,Girhore Shrief,Water Supply Scheme,,8700,,25.5827770273239,69.3533120307384,
Mirpur Khas,Sindhri,,Din Muhammad Junejo,Water Supply Scheme,,3400,,25.7213597274457,69.1173132522738,
Mirpur Khas,Kot Ghulam Muhammad,,Kot Ghulam Muhammad City,Water Supply Scheme,,26958,,25.289140082195,69.2558693029072,
Mirpur Khas,Kot Ghulam Muhammad,,Rajputh Goth,Water Supply Scheme,,2227,,25.2961249858541,69.1295659599846,
Mirpur Khas,Kot Ghulam Muhammad,,Waghreji,Water Supply Scheme,,26958,,25.289140082195,69.2558693029072,
Mirpur Khas,Kot Ghulam Muhammad,,Yaqoob Pur,Water Supply Scheme,,2227,,25.2961249858541,69.1295659599846,
Mirpur Khas,Kot Ghulam Muhammad,,Deh-294,Water Supply Scheme,,1760,,25.2163936350345,69.2365474345341,
Mirpur Khas,Kot Ghulam Muhammad,,Dayal Garh,Water Supply Scheme,,3180,,25.2413290249797,69.2467036818452,
Mirpur Khas,Kot Ghulam Muhammad,,Kachelo Farm,Water Supply Scheme,,1640,,25.179792782667,69.2120629796961,
Mirpur Khas,Kot Ghulam Muhammad,,Mehar Muhammad Boota,Water Supply Scheme,,6120,,25.247665850809,69.1798094708156,
Mirpur Khas,Kot Ghulam Muhammad,,Deh-333,Water Supply Scheme,,2880,,25.211526461616,69.1927109070157,
Mirpur Khas,Kot Ghulam Muhammad,,Bodey Wall,Water Supply Scheme,,1720,,25.2003604439943,69.2652520584559,
Mirpur Khas,Kot Ghulam Muhammad,,Nandi Duberji,Water Supply Scheme,,2340,,25.1905882490894,69.189422492114,
Mirpur Khas,Kot Ghulam Muhammad,,Kot Ghulam Muhammad,Drainage Scheme,,26958,,25.282254893167,69.2420684083758,
Mirpur Khas,Digri,,Digri Urban,Water Supply Scheme,,39820,,25.1443291413981,69.1098345031241,
Mirpur Khas,Digri,,Miryar Muhammad,Water Supply Scheme,,3290,,25.0909590165353,69.2340446156874,
Mirpur Khas,Digri,,Kangoro,Water Supply Scheme,,2117,,25.2365471332886,69.033852034876,
Mirpur Khas,Digri,,Deh-194,Water Supply Scheme,,2575,,25.0482826089289,69.1936941537128,
Mirpur Khas,Digri,,Jio Kaloi,Water Supply Scheme,,1100,,25.0977035119919,69.1764655670957,
Mirpur Khas,Digri,,Deh-154,Water Supply Scheme,,590,,25.2111357794052,69.021144254471,
Mirpur Khas,Digri,,Deh-155,Water Supply Scheme,,960,,25.2182130727017,69.0360267305353,
Mirpur Khas,Digri,,Deh-151,Water Supply Scheme,,1300,,25.1822110841142,69.0106788002274,
Mirpur Khas,Jhudo,,Naukot Urban,Water Supply Scheme,,13000,,24.8480141371765,69.4090100355785,
Mirpur Khas,Jhudo,,Fazal Bhambhro,Water Supply Scheme,,2150,,24.899588319326,69.4544407871119,
Mirpur Khas,Jhudo,,Jhudo (Kachi Disposal) Urban,Drainage Scheme,,9470,,24.9673708050412,69.3034675696958,
Umerkot,Umerkot,,Umerkot Urban,Water Supply Scheme,,7610,,25.3678937377388,69.7308100881296,
Umerkot,Umerkot,,Nawab Soomro,Water Supply Scheme,,2530,,25.4762381406956,69.6355242979934,
Umerkot,Umerkot,,Umerkot City Chor Road,Drainage Scheme,,8940,,25.3711603920783,69.7420910723763,
Umerkot,Pithoro,,Pithoro City,Water Supply Scheme,,11279,,25.5149108270845,69.3778851361951,
Umerkot,Pithoro,,Shadi Palli,Water Supply Scheme,,6000,,25.519305548126,69.2373568351341,
Umerkot,Pithoro,,Haji Pir Shah,Water Supply Scheme,,1360,,25.5560834652128,69.2318610744548,
Umerkot,Pithoro,,Kamal Din Arisar,Water Supply Scheme,,1510,,25.4739378275602,69.4721950271629,
Umerkot,Kunri,,Manjhakar,Water Supply Scheme,,1200,,25.1594230720197,69.4784870369377,
Umerkot,Kunri,,Nabisar Thar,Water Supply Scheme,,11186,,25.0737271050378,69.64218396295,
Umerkot,Kunri,,Kunri Urban,Water Supply Scheme,,8355,,25.1732571270772,69.5791299756951,
Umerkot,Kunri,,Bustan,Drainage Scheme,,20886,,25.1805510608788,69.5465720340909,
Shaheed Benazirabad,Nawabshah,,Jamshed Colony Disposal Works,Drainage Scheme,,6775,,26.2397530283789,68.422316099247,
Shaheed Benazirabad,Nawabshah,,Sahafi Disposal Works,Drainage Scheme,,28600,,26.2523375278594,68.4040695223864,
Shaheed Benazirabad,Nawabshah,,Ghulam Rasool shah Colony Disposal Works,Drainage Scheme,,9096,,26.238408463578,68.404811383371,
Shaheed Benazirabad,Nawabshah,,Taj & Azam Colonies Disposal Works,Drainage Scheme,,24240,,26.2648787830243,68.4018123434919,
Shaheed Benazirabad,Nawabshah,,Gharibabad Disposal works,Drainage Scheme,,8750,,26.2395509098704,68.40814967454,
Shaheed Benazirabad,Nawabshah,,Railway Station,Drainage Scheme,,7900,,26.2452612546663,68.4112847943112,
Shaheed Benazirabad,Nawabshah,,Mehran & Jamali Colonies Disposal Works,Drainage Scheme,,14128,,26.2440353726695,68.3944095855167,
Shaheed Benazirabad,Nawabshah,,Sanghar Road Disposal Works,Drainage Scheme,,5019,,26.251694566995,68.4284472130068,
Shaheed Benazirabad,Nawabshah,,Baloch Colony Disposal Works,Drainage Scheme,,6888,,26.2541122599891,68.4140640083768,
Shaheed Benazirabad,Nawabshah,,Lakha Disposal Works,Drainage Scheme,,31080,,26.2334372391846,68.4014026579449,
Shaheed Benazirabad,Nawabshah,,Ghulam Hyder Shah Colony,Drainage Scheme,,35336,,26.2569913215103,68.396315127226,
Shaheed Benazirabad,Nawabshah,,Awami Colony,Drainage Scheme,,37000,,26.2463434548898,68.3872183951454,
Shaheed Benazirabad,Nawabshah,,Azeem Colony Disposal Works,Drainage Scheme,,17344,,26.2373226608865,68.3913306092703,
Shaheed Benazirabad,Daur,,Ammerji Water,Water Supply Scheme,,12443,,26.4581561074711,68.2986403087322,
Shaheed Benazirabad,Daur,,Gajrah Wah,Water Supply Scheme,,2000,,26.4446847601639,68.3501551331633,
Shaheed Benazirabad,Daur,,Irrigation Bagh Disposal Works,Drainage Scheme,,12565,,26.4573325282883,68.3168715435495,
Shaheed Benazirabad,Daur,,Gharibabad Disposal Works,Drainage Scheme,,5779,,26.4625620139929,68.3175034516813,
Shaheed Benazirabad,Daur,,Ali Abad Disposal Works,Drainage Scheme,,9182,,26.4554131307082,68.3195510641481,
Shaheed Benazirabad,Daur,,Raza Abad Disposal Works,Drainage Scheme,,1350,,26.4227053124474,68.3241955822257,
Shaheed Benazirabad,Daur,,Bucheri Town Zone-A,Drainage Scheme,,3178,,26.3472397943257,68.3633676907671,
Shaheed Benazirabad,Daur,,Bucheri Town Zone-B,Drainage Scheme,,3788,,26.3565379156251,68.3629559812564,
Shaheed Benazirabad,Daur,,Sada Wah Bandhi Town,Water Supply Scheme,,4389,,26.6004010665938,68.2906342948754,
Shaheed Benazirabad,Daur,,Remanabad Water Works Bandhi Town,Water Supply Scheme,,4152,,26.59472864471,68.3029416864903,
Shaheed Benazirabad,Daur,,Madina Colony Zone-A Bandhi Town,Drainage Scheme,,4611,,26.5824462178482,68.2985775888034,
Shaheed Benazirabad,Daur,,Zone-B Bandhi Town,Drainage Scheme,,3000,,26.5939211353662,68.3002952719951,
Shaheed Benazirabad,Daur,,Zone-C Disposal Bandhi Town,Drainage Scheme,,2981,,26.5959323813752,68.3128267602528,
Shaheed Benazirabad,Daur,,Zone D- Near Jamali Colony Bandhi Town,Drainage Scheme,,4872,,26.5857520540708,68.3062195788009,
NODISTRICT,,,Plugging and Strengthening of Relief Cut along Manchar Containing Bund at RD 14,Irrigation,,,Completed,26.4030806,67.8305861,M/s MDS & Co
NODISTRICT,,,Plugging and Strengthening of Relief Cut along Manchar Containing Bund at RD 52,Irrigation,,,Completed,26.426913,67.7134399,M/s MDS & Co
NODISTRICT,,,"Plugging, Strengthening & Stone Pitching of Relief Cut Larkana Sehwan Bund along Mile 95/6",Irrigation,,,Completed,26.478045,67.840673,M/s MS & Company 
NODISTRICT,,,"Plugging, Strengthening & Stone Pitching of Relief Cut Larkana Sehwan Bund along Mile 97/2",Irrigation,,,Completed,26.44789,67.85577,M/s MS & Company 
NODISTRICT,,,"Plugging, Strengthening & Stone Pitching of Relief Cut Larkana Sehwan Bund along Mile 99/3",Irrigation,,,Completed,26.40181,67.83073,M/s Thadani Enterprises 
NODISTRICT,,,Plugging and Strengthening of Breaches along Indus Link Drain,Irrigation,,,Completed,26.48141,67.81641,M/s Thadani Enterprises 
NODISTRICT,,,Plugging and Strengthening of Breach along KN Shah Main Drain & Leading Channel,Irrigation,,,Completed,27.068392,67.721245,M/s MS & Company 
NODISTRICT,,,Plugging and Strengthening of Breaches/ Cuts along Ghar Main Drain & Leading Channel,Irrigation,,,Completed,27.46904,67.847617,M/s Rising Sun 
NODISTRICT,,,Plugging and Strengthening of Breaches/ Cuts along Miro Khan Main Drain,Irrigation,,,Completed,27.382981,67.452347,M/s Rising Sun 
NODISTRICT,,,Plugging and Strengthening of Breaches/ Cuts along Shahdad Kot Branch Drain,Irrigation,,,Completed,27.666877,67.751289,M/s Rising Sun 
NODISTRICT,,,"Plugging and Strengthening, Restoration and Rehabilitation of Dhamrah Wah",Irrigation,,,Completed,27.305118,67.675288,M/s MS & Company 
NODISTRICT,,,"Plugging, Strengthening and Stone Pitching of Breach along Superio Bund RD 82",Irrigation,,,Completed,27.3048685,67.6748216,M/s Rising Sun 
NODISTRICT,,,Plugging and Strengthening of Breach along FP Bund along RD 476+000,Irrigation,,,Completed,27.6437807,67.7546505,M/s Rising Sun 
NODISTRICT,,,Plugging and Strengthening of Breach along FP Bund along RD 340+000,Irrigation,,,Completed,27.3275242,67.630993,M/s Thadani Enterprises 
NODISTRICT,,,Plugging and Strengthening of Breach along Main Nara Valley (MNV) Drain at RD 330,Irrigation,,,Completed,27.11566,67.63978,M/s MS & Company 
NODISTRICT,,,Plugging and Strengthening of Breach along Main Nara Valley (MNV) Drain at RD 280,Irrigation,,,Completed,27.0425,67.6584,M/s Thadani Enterprises 
NODISTRICT,,,Plugging and Strengthening  of Breach along Main Nara Valey (MNV) Drain at RD 2+318,Irrigation,,,Completed,26.5162,67.62554,M/s Saeed Khan Construction Co
NODISTRICT,,,Plugging and Strengthening  of Breach along Main Nara Valey (MNV) Drain at RD 8+068,Irrigation,,,Completed,26.5313889,67.6261111,M/s Saeed Khan Construction Co
NODISTRICT,,,Repair of Rain Damages of Small Dams Under Small Dams Organization-Mole,Irrigation,,,Completed,25.4575694,67.4548194,M/s Haji Bashir Ahmed  Soomro
NODISTRICT,,,Repair of Rain Damages of Small Dams Under Small Dams Organization-Loyach,Irrigation,,,Completed,25.1948556,67.6975861,M/s Haji Bashir Ahmed  Soomro
NODISTRICT,,,Repair of Rain Damages of Small Dams Under Small Dams Organization-Langeji,Irrigation,,,Completed,25.0346722,67.3463167,M/s Haji Bashir Ahmed  Soomro
NODISTRICT,,,Repair of Rain Damages of Small Dams Under Small Dams Organization-Ranpathani,Irrigation,,,Completed,24.8231,67.6558306,M/s Haji Bashir Ahmed  Soomro
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Upper Mole-II,Irrigation,,,Completed,25.4300278,67.4548333,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Aripir,Irrigation,,,Completed,25.5095694,67.4656194,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Jungshahi,Irrigation,,,Completed,24.9707389,67.6048306,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Qasim Tok,Irrigation,,,Completed,26.5668722,67.3629667,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Naing-II,Irrigation,,,Completed,26.3438611,67.517125,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Dhall Dhoro,Irrigation,,,Completed,26.0852333,67.7656833,M/s Thadani Enterprises
NODISTRICT,,,Repair of Rain Damages Small Dams Under Sindh Resilience Project (SRP)-Gabol,Irrigation,,,Completed,26.0799194,67.7547417,M/s Thadani Enterprises
NODISTRICT,,,"Repair of Gaj Diversion Bund ledge and stone apron from RD 3-11, Repair of Gaj Diversion Bund  stone apron from RD 15-32.5",Irrigation,,,Completed,26.8636694,67.3329111,M/s Haji Bashir Ahmed  Soomro
NODISTRICT,,,Plugging and Strengthening of breach along F.P. Bund RD 432,Irrigation,,,Completed,27.5498751,67.7214753,M/s MDS & CO
NODISTRICT,,,Plugging and Strengthening of Relief Cut along Johi Branch along RD 80 to RD 86 and RD 95 to RD 98 ,Irrigation,,,Completed,27.0209889,67.7069444,M/s MS & Company 
NODISTRICT,,,Plugging and Strengthening of Breach along Saifullah Magsi Branch,Irrigation,,,Completed,27.920538,67.626783,M/s MBC & Sons 
NODISTRICT,,,Plugging and Strengthening of Breach along FP Bund along 169+000,Irrigation,,,Completed,27.920712,67.621385,M/s MBC & Sons 
NODISTRICT,,,Plugging and Strengthening of Breach along FP Bund along RD 215+000,Irrigation,,,Completed,27.88604,67.60874,M/s MBC & Sons 
NODISTRICT,,,"Plugging, Strengthening and Stone Pitching of Breach along Superio Bund RD 52",Irrigation,,,Completed,27.2355267,67.6849885,M/s Rising Sun
NODISTRICT,,,Plugging and Strengthening of Breach along Main Nara Valley (MNV) Drain at RD 210,Irrigation,,,Completed,27.787484,67.623066,M/s Thandani Enterprises
NODISTRICT,,,Rehabilitation of Mehar Main Drain,Irrigation,,,Completed,27.18821,67.69245,M/s Haji Bashir Ahmed Soomro
NODISTRICT,,,"Plugging, Strengthening and Stone Pitching of Breach along Superio Bund RD 12",Irrigation,,,Completed,27.1429367,67.6784044,M/s MS & Company
NODISTRICT,,,"Plugging, Strengthening and Stone Pitching of Breach along Superio Bund RD 28",Irrigation,,,Completed,27.1711946,67.668862,M/s MS & Company
NODISTRICT,,,"Plugging, Strengthening and Stone Pitching of Breach along Superio Bund RD 42",Irrigation,,,Completed,27.2100696,67.6788486,M/s Rising Sun 
NODISTRICT,,,Rehabilitation of Manchar Containing Bund (RD 0+000 to RD 27+000),Irrigation,,,Completed,26.398889,67.831111,M/s Al-Ramzan Construction Company
NODISTRICT,,,Rehabilitation of Manchar Containing Bund (RD 27+000 to RD 54+000),Irrigation,,,Completed,26.416389,67.750278,M/s MDS & Company
NODISTRICT,,,Rehabilitation of Manchar Containing Bund (RD 54+000 to RD 77+000),Irrigation,,,Completed,26.451667,67.694167,M/s Haji Bashir Ahmed Soomro
NODISTRICT,,,Rehabilitation of Manchar Containing Bund (RD 77+000 to RD 100+000),Irrigation,,,Completed,27.063611,67.565833,M/s Abdual Ghaffar Memon
NODISTRICT,,,Rehabilitation of FP Bund (RD 160+000 to RD 210+000),Irrigation,,,On-going ,26.94,67.641944,M/s Thadani Enterprises
NODISTRICT,,,Rehabilitation of FP Bund (RD 325+000 to RD 380+000),Irrigation,,,On-going ,27.391766,67.672529,M/s Saeed Khan Construction Company
NODISTRICT,,,Rehabilitation of FP Bund (RD 380+000 to RD 445+000),Irrigation,,,On-going ,27.507951,67.663195,M/s Saeed Khan Construction Company
NODISTRICT,,,Rehabilitation of FP Bund (RD 445+000 to RD 490+000),Irrigation,,,On-going ,27.633036,67.759401,M/s Abdual Ghaffar Memon
NODISTRICT,,,"Rehabilitation of FP Bund
(RD 490+000 to RD 502+000 & RD 263+000 to RD 220+000)",Irrigation,,,On-going ,27.679552,67.722877,M/s Thadani Enterprises
NODISTRICT,,,Rehabilitation of FP Bund (RD 220+000 to RD 169+000),Irrigation,,,On-going ,27.8423,67.604314,M/s MDS & Company
NODISTRICT,,,Rehabilitation of Left Aral Bund (RD 0+000 TO RD 19+000),Irrigation,,,On-going ,26.428611,67.844722,M/s MS & Company
NODISTRICT,,,Remodeling & Rehabilitation of Aral Head Regulator (MC RD 0+000) ,Irrigation,,,On-going ,26.427983,67.845083,M/s Al-Ramzan Construction Company
NODISTRICT,,,Remodeling and Rehabilitation of Aral Wah (RD 1+250 TO RD 0+000 & RD 0+000 TO 14+000) ,Irrigation,,,On-going ,26.402114,67.831614,M/s Rising Sun 
NODISTRICT,,,Rehabilitation of Danistar Canal (RD 0+000 TO 27+440),Irrigation,,,Completed,26.436944,67.792222,M/s MS & Company 
NODISTRICT,,,Rehabilitation of Danistar Canal (RD 27+440 TO 56+434),Irrigation,,,Completed,26.436944,67.792222,M/s Thadani Enterprises 
NODISTRICT,,,Remodeling and Rehabilitation of Danister Tail Regulator and Regulator for 10 Phats (Minors) Danister Canal (Civil Works),Irrigation,,,On-going ,26.442222,67.698889,M/s Saeed Khan Construction Co
NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 110+000 to RD 143+330),Irrigation,,,On-going ,24.510111,69.155558,M/S MBC & Sons 
NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 143+330 to RD 176+400),Irrigation,,,On-going ,24.555903,69.231292,M/S MBC & Sons 
NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 176+400 to RD 210+000),Irrigation,,,On-going ,24.621514,69.2433,M/S MBC & Sons 
NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 210+000 to RD 222+130) and Main Drain (RD 212+300 to RD 217+600),Irrigation,,,On-going ,24.6786,69.217192,M/S MBC & Sons 
NODISTRICT,,,Rehabilitation of Outfall Structure at RD 210+000 of Dhoro Puran,Irrigation,,,On-going ,24.679658,69.216183,M/S MBC & Sons 
NODISTRICT,,,Rehabilitation of Retaining Wall (3RDs along Danistar Canal (Bubak/ Miani Town),Irrigation,,,Completed,26.445022,67.718261,M/s Haji Basheer Ahmed Soomro
NODISTRICT,,,Remodeling of Shaheed Benazirabad Storm Water Drain (RD 16+556 TO RD 39+590),Irrigation,,,Completed,26.232556,68.363856,M/s Mumtaz Builders
NODISTRICT,,,Remodeling  of Shaheed Benazirabad Storm water Drain (RD 0+000 to RD 16+556),Irrigation,,,Completed,26.197028,68.332739,M/s MDS & CO
NODISTRICT,,,Rehabilitation of FP BUND (RD 0+000 TO RD 20+000 & RD 75+000 TO RD 160+000),Irrigation,,,On-going ,26.509478,67.623992,M/s Haji Basheer Ahmed Soomro
